ID,titles,issue,volume
1596,Research Abstracts,4,29
1597,"American Association for Health, Physical Education, and Recreation",4,29
1598,The Original Table of Contents and Board of Associate Editors,4,29
1599,Oregon Simplifications of the Strength and Physical Fitness Indices,1,30
1600,Effects of Various Warm-Up Procedures on 100-Yard Times of Competitive Swimmers,1,30
1601,"Reliability, Measurement Error, and Intra-Individual Difference",1,30
1602,Theoretical Specifications for the Racing Dive: Optimum Angle of Take-Off,1,30
1603,Prediction of Baseball Ability through an Analysis of Measures of Strength and Structure,1,30
1604,Self-Attitudes of Women Physical Education Major Students and of Women Physical Education Teachers,1,30
1605,"Maturation Age of 55 Boys in the Little League World Series, 1957",1,30
1606,Effects of Fatigue and Warm-Up on Speed of Arm Movements,1,30
1607,Influence of Massage on Jumping Performance,1,30
1608,Variables Affecting Kraus-Weber Failures among Junior High School Girls,1,30
1609,"Changes in Body Fat, Estimated from Skinfold Measurements of Varsity College Football Players during a Season",1,30
1610,Motor Ability and Educability Factors of High and Low Scoring Beginning Bowlers,1,30
1611,Quickness of Reaction and Movement Related to Rhythmicity or Nonrhythmicity of Signal Presentation,1,30
1612,Factors Influencing Diurnal Variation of Strength of Grip,1,30
1613,Note: Precision and Operation of the Hundredth-Second Electric Timer,1,30
1614,Research Abstracts,1,30
1615,The Original Table of Contents and Editorial Board,1,30
1616,An Experimental Study of the Effect of Water Ingestion upon Athletic Performance,2,30
1617,The Relationship between the Physical Fitness Ratings of Aviation Cadets and Certain Early Life Experiences Pertaining to Physical Activity,2,30
1618,"The Selection, Development, and Evaluation of Tobacco Smoking Concepts",2,30
1619,Influence of Measurement Error and Intra-Individual Variation on the Reliability of Muscle Strength and Vertical Jump Tests,2,30
1620,Contributions of R. Tait McKenzie to Modern Concepts of Physical Education,2,30
1621,Self-Attitudes of Women Physical Education Major Students as Related to Measures of Interest and Success,2,30
1622,Substitution of the Tensiometer for the Dynamometer in Back and Leg Lift Testing,2,30
1623,The Significance of Interpolated Time Intervals on Motor Learning,2,30
1624,Effectiveness of Warm-Up Exercise in Junior High School Girls,2,30
1625,Ability of Deaf Swimmers to Orient Themselves When Submerged in Water,2,30
1626,The Relationship of Movement Time and Reaction Time from Childhood to Senility,2,30
1627,An Analysis of the Aerodynamics of Pitched Baseballs,2,30
1628,Notes: On the Use of a Rubber Yardstick in Evaluating a Difference,2,30
1629,Notes: The Meaning of a Nonsignificant t,2,30
1630,"Comment: Comments on the Article by Lois Ellfeldt and Eleanor Metheny, “Movement and Meaning: Development of a General Theory,” in the October 1958 Research Quarterly",2,30
1631,Research Abstracts,2,30
1632,The Original Table of Contents and Editorial Board,2,30
1633,Rhythmic Perception and Gross Motor Performance,3,30
1634,Physical Training Helps to Regulate and Improve Glandular Functions: A Review of Research,3,30
1635,Analysis of Fundamentals of Fencing,3,30
1636,Energy Cost of Pull-Ups and Push-Ups as Related to Arm Strength Formulas,3,30
1637,Hip Flexibility of Elementary School Boys as Related to Body Segments,3,30
1638,Periodic Changes in the Circulation during Athletic Training as Reflected by a Step Test,3,30
1639,Effects of Ethyl Alcohol on the Performance of Selected Gross Motor Tests,3,30
1640,Comparison of Base Running Methods,3,30
1641,Electromyographic Studies of Arm Movements,3,30
1642,A Health Knowledge Test for the Seventh Grade,3,30
1643,A Comparison of Reaction and Movement Times of Women Athletes and Nonathletes,3,30
1644,Physical Performance of Children Taught by Special Teachers and by Classroom Teachers,3,30
1645,Notes: A Method for Evaluating the Significance of Differences Observed in a Case Study,3,30
1646,Notes: Differences in Speed between American Negro and White Children in Performance of the 35-Yard Dash,3,30
1647,Notes: Utilization of the High Speed Electronic Computer,3,30
1648,Notes: Testing Hypotheses,3,30
1649,Research Abstracts,3,30
1650,Criteria for Evaluation of Articles Submitted for Publication in the Research Quarterly,3,30
1651,The Original Table of Contents and Editorial Board,3,30
1652,Effects of Progressive Resistive Exercises on the Motor Coordination of Boys,4,30
1653,Effects of Training and Conditioning for Middle Distance Swimming upon Various Physical Measures,4,30
1654,A Cinematographical Analysis of the Dolphin Swimming Stroke,4,30
1655,Coeducational Physical Education in Institutions of Higher Learning,4,30
1656,The Reliability and Validity of Selected Physical Fitness Tests for High School Girls,4,30
1657,Relationship of Motor Ability and Athletic Participation in Certain Standardized Personality Measures,4,30
1658,Effect of Warm-Up on the 440-Yard Dash,4,30
1659,Functions of a School Nurse,4,30
1660,"Status of Physique, Change in Physique, and Speed in the Growth Patterns of School Children, Grades 1–8",4,30
1661,Effects of Various Training Programs on Speed of Swimming,4,30
1662,Recreational Interests of Undergraduate Men Physical Education Majors,4,30
1663,Correction,4,30
1664,Research Abstracts,4,30
1665,"American Association for Health, Physical Education, and Recreation",4,30
1666,The Original Table of Contents and Editorial Board,4,30
1667,Energy Cost of Isometric Exercise,1,31
1668,Effect of Duration of Exercise on Neuromuscular Hand Tremor,1,31
1669,A Comparison of Fathers and Sons in Physical Ability,1,31
1670,The Establishment of Principles of Human Relations That May Be Used in the Integration of All-White or All-Negro Camps to Interracial Camps,1,31
1671,"Relationships between Individual Differences in Strength, Speed, and Mass in an Arm Movement",1,31
1672,A Report on the Kraus-Weber Test in East Pakistan,1,31
1673,Pulse Wave and Blood Pressure Changes Occurring during a Physical Training Program,1,31
1674,A Study of Differences in Selected Physical Performance Test Scores of Women in Tennessee Colleges,1,31
1675,Effect of Variations in Hand and Foot Spacing on Movement Time and on Force of Charge,1,31
1676,Bruce Physical Fitness Index as a Predictor of Performance in Trained Distance Runners,1,31
1677,"An Account of Ruth St. Denis in Europe, 1906–1909",1,31
1678,Relationship of Selected Factors in Growth Derivable from Age-Height-Weight Measurements,1,31
1679,Effect of Various Activities on Whole Blood Viscosity,1,31
1680,Notes: Bowling Norms for College Men and Women,1,31
1681,Notes: The Booth Scale as a Predictor of Competitive Behavior of College Wrestlers,1,31
1682,"Comments: Comments on the Article by A. G. Galarneaux and C. W. Thompson, “The Selection, Development, and Evaluation of Tobacco Smoking Concepts” in the May 1959 Research Quarterly",1,31
1683,Research Abstracts,1,31
1684,The Original Table of Contents and Editorial Board,1,31
1685,Objective Determination of Resistance Load for Ten Repetitions Maximum for Knee Flexion Exercise,2,31
1686,Effects of Selected Techniques on Recovery from Fatigue and Impairment in Athletes,2,31
1687,Effect of Posthypnotic Suggestions on All-Out Effort of Short Duration,2,31
1688,Interrelationships among Reaction Times and Speeds of Movement in Different Limbs,2,31
1689,"Reaction Time, Movement Time, and Task Specificity Relationships at Ages 12, 22, and 48 Years",2,31
1690,Relationship of Personality Traits to Motor Ability,2,31
1691,Brachial Pulse Wave as a Measure of Cross-Country Running Performance,2,31
1692,"Effect of Milk on Short Duration, Sprint, and Power Types of Athletic Performance",2,31
1693,Relation of Circuit Training to Swimming,2,31
1694,A Study of the Performance of Boys and Girls Taught by the Specialist and the Nonspecialist,2,31
1695,Follow-up Study on Simplification of the Strength and Physical Fitness Indexes,2,31
1696,"Reliability, Accuracy, and Refractoriness of a Transit Reaction",2,31
1697,Notes: Relationship between Audio-Perceptual Rhythm and Skill in Square Dance,2,31
1698,Notes: Laboratory Research in Physical Education,2,31
1699,Notes: A Plea for Better Scholarship in Research Reports,2,31
1700,Notes: Research on Muscle Development,2,31
1701,Notes: Strength Tests for Young Children—A Pilot Study,2,31
1702,Comments: Comments on the Selection of Data for Presentation,2,31
1703,Research Abstracts,2,31
1704,The Original Table of Contents and Editorial Board,2,31
1705,The Original Table of Contents,3,31
1706,Prevalence of Certain Harmful Health Misconceptions among Prospective Elementary School Teachers,3,31
1707,Relationship of Selected Measures of Acting Body Levers to Ball-Throwing Velocities,3,31
1708,Relationship between Body Types and Static Posture of Young Adult Women,3,31
1709,Status of the Physical Education Required or Instructional Programs in Four-Year Colleges and Universities,3,31
1710,Acquisition of Throwing Skill Involving Projectiles of Varying Weights,3,31
1711,Motor Performance of Girls Age 6 to 14 Years,3,31
1712,Personality Traits and Teaching Attitudes,3,31
1713,Factorial Structure of Speed and Static Strength in a Lateral Arm Movement,3,31
1714,Increased Response Latency for Complicated Movements and A “Memory Drum” Theory of Neuromotor Reaction,3,31
1715,Influence of Motor and Sensory Sets on Reaction Latency and Speed of Discrete Movements,3,31
1716,Effects of Different Types of Hypnotic Suggestions upon Physical Performance,3,31
1717,Effects of Exercise on Swimming Endurance and Organ Weight in Mature Rats,3,31
1718,Muscular Fatigue Curves of Boys and Girls,3,31
1719,Performance as Affected by Incentive and Preliminary Warm-Up,3,31
1720,Maximal Work Capacity of Human Intact Muscle under Hyperaemic Conditions,3,31
1721,Health Needs and Interests as a Basis for Selecting Health Content in Secondary Schools,3,31
1722,Frequency Distributions and Standards of Anthropometric and Physical Performance Measures for College Women,3,31
1723,Relationship between Maximum Isometric Tension and Breaking Strength of Forearm Flexors,3,31
1724,Research Abstracts,3,31
1725,Teleroentgenologic Investigations of Champion Turkish Wrestlers,4,31
1726,Effects of Amphetamine (Dexedrine) and Caffeine on Subjects Exposed to Heat and Exercise Stress,4,31
1727,Effect of Mental Practice on the Development of a Certain Motor Skill,4,31
1728,Correlation between the Strength/Mass Ratio and the Speed of an Arm Movement,4,31
1729,Development of an Attitude Inventory to Measure the Attitude of High School Girls toward Physical Education as a Career for Women,4,31
1730,Degree of Participation in Related Areas by Men Physical Education Majors in Five of the Illinois State Universities,4,31
1731,Psychological Refractoriness and the Latency Time of Two Consecutive Motor Responses,4,31
1732,Problem-Solving Test of Sportsmanship,4,31
1733,Effects of Two Systems of Weight Training on Circulorespiratory Endurance and Related Physiological Factors,4,31
1734,The Identification of the School Health and Safety Concerns of the Secondary School Physical Educator,4,31
